snapshot_date,total_value_pln,cash_pln,invested_pln,open_positions,exposure_pct
2022-04-15,1188386.64,1009876.75,178509.89,5,15.021196300220948
2022-04-18,1188404.43,1009946.29,178458.14,5,15.016616859969128
2022-04-19,1188404.43,1009946.29,178458.14,5,15.016616859969128
2022-04-20,1186893.86,1044138.93,142754.93,4,12.027607085270455
2022-04-21,1186893.86,1044138.93,142754.93,4,12.027607085270455
2022-04-22,1185735.67,1043173.67,142562.0,4,12.023084369216962
2022-04-25,1181357.03,1145750.23,35606.8,1,3.0140591790442897
2022-04-26,1181144.38,1003774.63,177369.75,5,15.016771277360691
2022-04-27,1181091.23,968287.14,212804.1,6,18.017583620530313
2022-04-28,1181038.08,932801.25,248236.84,7,21.018529732758488
2022-04-29,1179133.25,895641.0,283492.26,8,24.04242777480832
2022-05-02,1175612.56,927621.44,247991.12,7,21.094630019944667
2022-05-03,1173154.05,960603.66,212550.39,6,18.117858434704292
2022-05-04,1173154.05,960603.66,212550.39,6,18.117858434704292
2022-05-05,1172942.89,819614.02,353328.87,10,30.123279915188373
2022-05-06,1172942.89,819614.02,353328.87,10,30.123279915188373
2022-05-09,1170197.5,958131.34,212066.17,6,18.122254576684707
2022-05-10,1168249.85,1062250.08,105999.78,3,9.07338271860253
2022-05-11,1168249.85,1062250.08,105999.78,3,9.07338271860253
2022-05-12,1168249.85,1062250.08,105999.78,3,9.07338271860253
2022-05-13,1167764.11,1062147.87,105616.25,3,9.044313752715007
2022-05-16,1169835.36,1099593.12,70242.25,2,6.004456045849049
2022-05-17,1169782.72,1064445.38,105337.34,3,9.00486374084924
2022-05-18,1169782.72,1064445.38,105337.34,3,9.00486374084924
2022-05-19,1167810.74,1062574.6,105236.13,3,9.011402823714398
2022-05-20,1167810.74,1062574.6,105236.13,3,9.011402823714398
2022-05-23,1167810.74,1062574.6,105236.13,3,9.011402823714398
2022-05-24,1167810.74,1062574.6,105236.13,3,9.011402823714398
2022-05-25,1167758.18,1027487.76,140270.43,4,12.011941547692691
2022-05-26,1167758.18,1027487.76,140270.43,4,12.011941547692691
2022-05-27,1169315.32,1064092.47,105222.85,3,8.99867197498105
2022-05-30,1169315.32,1064092.47,105222.85,3,8.99867197498105
2022-05-31,1169315.32,1064092.47,105222.85,3,8.99867197498105
